diagnosis,count,teşhis,description,department
diverticulitis,906,divertikülit,"Sindirim sisteminin iç yüzeyinde oluşabilen küçük, şişkin keselere denir. En sık olarak kalın bağırsağın alt kısmında yer alırlar",gastroenteroloji
bursitis,894,bursit,"bir eklemi ya da kemiği kaplayan yumuşak dokunun üzerinde oluşan içi sıvı dolu keseciklerin iltihaplanmasıdır.",ortopedi ve travmatoloji
conjunctivitis due to allergy,884,göz alerjisi,"Gözün beyaz kısmının pembe veya kırmızı bir renk almasına neden olabilen göz nezlesi diğer adıyla pembe göz olarak da bilinir. En yaygın belirtisi gözde renk değişimi, kızarıklık, kaşıntı, kabuklanma ve yırtılmadır. Göz nezlesi görüntü olarak rahatsız edici olsa da kişinin görüş kalitesini bozacak bir durum değildir.",göz hastalıkları
fungal infection of the hair,878,saç mantarı,"Saç derisinde, kaşlarda ve kirpiklerde mantar enfeksiyonu olarak bilinen tinea capitis, saç köklerini etkileyen bir enfeksiyondur. Genellikle çocuklarda görülür ve saç dökülmesine neden olabilir.",dermatoloji
pneumonia,877,akciğer iltihabi(zature),"Akciğerdeki hava keselerinin bakteri, virüs veya mantar kaynaklı iltihaplanmasıdır. Daha çok streptococcus pneumoniae bakterisinin neden olduğu zatürre akciğerdeki hava keselerinin sıvı ya da irinle dolmasına neden olur. Zatürre tedavi edilmediğinde akciğere zarar verebilen bir rahatsızlıktır.",dahiliye
vulvodynia,875,vulvodini,"Kadın genital organında yani vulva bölgesinde gelişen uzun süreli ağrı olarak tanımlanır. Bu ağrının belirgin bir nedeni olmasa da sinir hasarı, hormonal değişiklikler, enfeksiyon ve psikolojik faktörlere bağlı olarak gelişebilir. Yanma, batma veya kaşıntı hissi, sürekli olarak ağrı, genital bölgede rahatsızlık veya baskı hissi gibi belirtilerdir.",kadın hastalıkları ve doğum
spondylosis,870,spandoliz,"Omurganın yaşlanma sürecinde ortaya çıkan dejeneratif bir hastalıktır", ortopedi ve travmatoloji
sprain or strain,869,burkulma,"Eklem bağlarının aşırı gerilmesi sonucu oluşan yaralanmalardır. Eklemi oluşturan kemiklerin birbirine bağlanmasını sağlayan bağların gerilmesi ya da yırtılmasıdır. Genellikle bilek, diz ve ayak bileği gibi eklemlerde meydana gelir.",ortopedi ve travmatoloji
peripheral nerve disorder,866,periferik sinir bozukluğu,"Sinirlerin hasar görmesi sonucu ortaya çıkan ve genellikle diyabet, enfeksiyonlar veya travmalara bağlı olarak gelişen bir durumdur. Sinir iletiminde bozulmaya yol açan sinir hasarı ellerde ve ayaklarda uyuşma, kas güçsüzlüğü, yanma veya batma hissi gibi belirtilerle kendini gösterir.",nöroloji
spontaneous abortion,863,doğal düşük,"Hamileliğe ait rahim içinde yer alan tüm dokuların bebek ile birlikte rahim dışına atılmasıdır.",kadın hastalıkları ve doğum
anxiety,863,kaygı bozukluğu,"Kişinin günlük yaşamını olumsuz etkileyen aşırı kaygı ve korku durumudur. Kişinin düşüncelerini, duygularını ve davranışlarını etkileyebilir. Tedavi edilmediğinde sosyal ilişkileri, iş hayatını ve genel yaşam kalitesini olumsuz etkileyebilir.",psikiyatri
liver disease,863,karaciğer hastalığı,"Karaciğerin normal işlevlerini yerine getirememesi durumudur",dahiliye
nose disorder,861, burun hastalığı,"Burun içi dokuların iltihaplanması, enfeksiyonlar, alerjiler veya yapısal anormallikler gibi durumları kapsayan genel bir terimdir. Burun tıkanıklığı, akıntı, burun kanaması ve koku kaybı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
infectious gastroenteritis,857,bulaşıcı mide iltihabı,"Genellikle virüs, bakteri veya parazitlerin neden olduğu enfeksiyonlar sonucu ortaya çıkar. Karın ağrısı, ishal, bulantı ve kusma gibi belirtilerle kendini gösterir.",dahiliye
complex regional pain syndrome,857,bölgesel ağrı sendromu,"Bir yaralanma veya cerrahi müdahale sonrası ortaya çıkan, genellikle bir uzuvda aşırı ağrı, şişlik ve cilt değişiklikleri ile karakterize edilen bir durumdur. Sinir sistemi ve bağışıklık sisteminin etkileşimi sonucu gelişir.",nöroloji
cystitis,855,mesane iltihabı,"Genellikle bakteriyel enfeksiyonlar sonucu ortaya çıkar ve idrar yaparken yanma, sık idrara çıkma ve karın alt bölgesinde ağrı gibi belirtilerle kendini gösterir.",üroloji
cholecystitis,853,safra kesesi iltihabı,"Safra taşları nedeniyle oluşur ve karın sağ üst kısmında ağrı, bulantı ve kusma gibi belirtilerle kendini gösterir.",dahiliye
acute bronchiolitis,852,bronşit,"Akciğerlerin küçük hava yollarının iltihaplanmasıdır. Viral enfeksiyonlar sonucu ortaya çıkar ve öksürük, nefes darlığı ve hırıltılı solunum gibi belirtilerle kendini gösterir.",dahiliye
spinal stenosis,852,belde kanal darlığı,"Omurilik veya sinir kökleri üzerinde baskıya neden olan omurilik kanalının veya nöral foramenin anormal bir daralmasıdır.", beyin ve sinir cerrahisi
hypoglycemia,849,hipoglisemi,"Kan şekeri seviyesinin normalin altına düşmesi durumudur. Açlık, aşırı egzersiz veya insülin aşırı doz alımı gibi nedenlerle ortaya çıkar. Baş dönmesi, terleme, titreme ve kalp çarpıntısı gibi belirtilerle kendini gösterir.",dahiliye
acute bronchitis,849,bronşit,"Akciğerlerin küçük hava yollarının iltihaplanmasıdır. Viral enfeksiyonlar sonucu ortaya çıkar ve öksürük, nefes darlığı ve hırıltılı solunum gibi belirtilerle kendini gösterir.",dahiliye
eczema,847,egzama,"Ciltte kaşıntı, kızarıklık ve kabarcıklarla karakterize olan bir durumdur.Alerjik reaksiyonlar, stres veya cilt kuruluğu gibi faktörlerden kaynaklanır.",dermatoloji
vaginal cyst,846, vaginal kist,"Vajina içinde oluşan sıvı dolu keseciklerdir.Zararsızdırlar ve çoğu zaman belirti verir.", kadın hastalıkları ve doğum
noninfectious gastroenteritis,842, bulaşıcı olmayan mide iltihabı,"Mide ve bağırsakların iltihaplanmasıdır. Genellikle virüs, bakteri veya parazitlerin neden olduğu enfeksiyonlar sonucu ortaya çıkar. Karın ağrısı, ishal, bulantı ve kusma gibi belirtilerle kendini gösterir.",dahiliye
strep throat,842,boğaz enfeksiyonu,"Boğazda ağrı, yutma zorluğu ve ateş gibi belirtilerle kendini gösterir. Bakteriyel enfeksiyonlar sonucu ortaya çıkar.",kulak burun boğaz
acute pancreatitis,841,pankreas iltihabı,"Safra taşları veya alkol tüketimi sonucu ortaya çıkar ve karın ağrısı, bulantı ve kusma gibi belirtilerle kendini gösterir.",dahiliye
gout,840,gut,"eklemlerde çok fazla ürik asit birikmesi ile oluşan iltihaplı artrit türüdür. Bir veya daha fazla eklemi etkileyen, genellikle ayak baş parmağında, bilhassa geceleri aniden ortaya çıkan şiddetli yanma, ağrı ve şişlik gibi hassasiyetlere neden olan bir hastalıktır.",dahiliye
marijuana abuse,838,esrar kullanımı,"Esrar, Cannabis sativa bitkisinin kurutulmuş yaprakları ve çiçeklerinden elde edilen bir uyuşturucudur. Esrar kullanımı, kişinin ruh hali, düşünceleri ve davranışları üzerinde etkili olabilir.",psikiyatri
gastrointestinal hemorrhage,837, sindrim sistemi kanaması,"Sindirim sisteminin herhangi bir bölümünde kanama meydana gelmesi durumudur.", gastroenteroloji
benign prostatic hyperplasia (bph),837, iyi huylu prostat büyümesi,"Prostat bezinin büyümesiyle karakterize olan bir durumdur. İdrar akışında zorluk, sık idrara çıkma ve gece idrara çıkma gibi belirtilerle kendini gösterir.",üroloji
obstructive sleep apnea (osa),837,obstrüktif uyku apnesi,"Soluk borunuzdaki bir tıkanıklık nedeniyle uyku sırasında nefes almayı bırakmanızdır. Sık sık uyanabilirsiniz, bu da gündüz yorgunluğuna ve diğer sinir bozucu semptomlara yol açabilir. Tedavi edilmeyen OSA, yaşamı tehdit eden komplikasyonlar riskinizi artırır.",kulak burun boğaz
injury to the arm,832, kol yaralanması,"Kolun herhangi bir bölgesinde meydana gelen yaralanmalardır.",ortopedi ve travmatoloji
concussion,832, beyin sarsıntısı,"Beyin fonksiyonlarını etkileyen hafif bir travmatik beyin hasarıdır. Etkileri genellikle kısa vadelidir ve baş ağrıları ve konsantrasyon, hafıza, denge, ruh hali ve uyku sorunları içerebilir.",nöroloji
esophagitis,831,özofagus iltihabı,"tüketilen besinleri boğazdan mideye taşıyan bir tüp olan yemek borusu astarının, genellikle asit reflüye bağlı olarak iltihaplanmasıdır. En yaygın nedeni kronik asit reflü olan özofajit, yemek borusuna kaçan mide asitleri, enfeksiyon, ağızdan alınan ilaçlar ve alerji kaynaklı da meydana gelebilir.",gastroenteroloji
arthritis of the hip,824,kalça eklemi iltihabı,"Yaşlanma, yaralanmalar veya romatizmal hastalıklar sonucu ortaya çıkar ve kalça ağrısı, sertlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterir.",ortopedi ve travmatoloji
dental caries,815,diş çürüğü,"Dişlerin sert dokusunun bozulmasıdır. Genellikle bakteriyel enfeksiyonlar sonucu ortaya çıkar ve diş ağrısı, hassasiyet ve çürük oluşumu gibi belirtilerle kendini gösterir.",diş hekimliği
injury to the leg,806,bacak yaralanması,"Bacağın herhangi bir bölgesinde meydana gelen yaralanmalardır.",ortopedi ve travmatoloji
psoriasis,688,sedef hastalığı,"Ciltte kırmızı, pullu lezyonlarla karakterize olan bir durumdur. Genellikle bağışıklık sistemi ile ilişkilidir ve ciltte kaşıntı, yanma ve rahatsızlık hissi gibi belirtilerle kendini gösterir.",dermatoloji
injury to the trunk,685,göğüs yaralanması,"Vücudun gövde kısmında meydana gelen yaralanmalardır.",ortopedi ve travmatoloji
chronic constipation,681, kronik kabızlık,"Bağırsak hareketlerinin düzensizleşmesi ve dışkının sertleşmesi durumudur. Genellikle yetersiz lif alımı, sıvı eksikliği veya hareketsizlik gibi nedenlerle ortaya çıkar.",gastroenteroloji
seasonal allergies (hay fever),679, mevsimsel alerji,"Polen, toz veya diğer alerjenlere karşı vücudun aşırı tepki vermesi durumudur. Burun akıntısı, hapşırma, gözlerde kaşıntı ve burun tıkanıklığı gibi belirtilerle kendini gösterir.",kulak burun boğaz
croup,672, krup,"Krup, ana nefes borusunun girişinin şişmesi sonucunda oluşan öksürük ve nefes darlığıdır. Sonbahar, kış ve bahar aylarında daha sık görülen krup’un sebebi, virüslerdir.",çocuk hastalıkları
urinary tract infection,668,idrar yolu enfeksiyonu,"İdrar yollarında bakteriyel enfeksiyon sonucu ortaya çıkan bir durumdur. İdrar yaparken yanma, sık idrara çıkma ve karın alt bölgesinde ağrı gibi belirtilerle kendini gösterir.",üroloji
diaper rash,666,pişik,"ildin uzun süreli ıslak kalması ve sürtünme olması sonucunda veya kimyasallara temas ile pişik gelişebilir. Duş alırken genital bölgenin dikkatli bir şekilde yıkanmaması da pişik oluşumuna neden olabilir. Maya mantarı enfeksiyonu, yetişkinlerde de görülebilir ve pişiğe sebep olabilir.",çocuk hastalıkları
sebaceous cyst,662, yağ kisti,"Cilt altında oluşan sıvı dolu keseciklerdir. Genellikle zararsızdırlar ve çoğu zaman belirti vermezler. Ancak enfekte olduklarında ağrı, kızarıklık ve şişlik gibi belirtilerle kendini gösterebilirler.",dermatoloji
skin pigmentation disorder,662, çilt pigmentasyon bozukluğu,"Ciltteki melanin pigmentinin anormal dağılımı veya üretimi sonucu ortaya çıkan durumdur. Ciltte lekeler, beyazlamalar veya koyulaşmalar gibi belirtilerle kendini gösterebilir.",dermatoloji
eustachian tube dysfunction (ear disorder),662, östaki borusu disfonksiyonu,"Orta kulak ile boğaz arasındaki östaki borusunun normal işlevini yerine getirememesi durumudur. Kulakta basınç hissi, ağrı ve işitme kaybı gibi belirtilerle kendini gösterebilir.",kulak burun boğaz
hiatal hernia,661,mide fıtığı,"Midenin üst kısmının diyaframdan yukarı doğru kaymasıdır. Genellikle asit reflüsü, göğüs ağrısı ve yutma zorluğu gibi belirtilerle kendini gösterir.",gastroenteroloji
schizophrenia,661,şiddetli,"Benzer belirtilere sahip hem ruhsal hem de akılsal yönleri etkileyen karmaşık bir psikiyatrik hastalıktır. Hastalık, algılama ve düşünme yetilerinde meydana gelen bozukluklara bağlı olarak kişinin davranışlarında da değişime, bozulmalara yol açar.",psikiyatri
acute stress reaction,661, akut stres reaksiyonu,"Bir olayın ardından ortaya çıkan geçici stres tepkisidir. Kişinin ruh hali, düşünceleri ve davranışları üzerinde etkili olabilir. Genellikle kısa süreli olup, stres kaynağı ortadan kalktığında belirtiler azalır.",psikiyatri
gum disease,660, diş eti çekilmesi,"Diş etlerinin iltihaplanması ve enfekte olması durumudur. Genellikle diş eti kanaması, şişlik ve ağrı gibi belirtilerle kendini gösterir.",diş hekimliği
pulmonary embolism,659,akçiğer emboli,"Akciğerlere kan akışını engelleyen bir pıhtının neden olduğu durumdur. Genellikle bacaklarda derin ven trombozu (DVT) sonucu ortaya çıkar ve nefes darlığı, göğüs ağrısı ve öksürük gibi belirtilerle kendini gösterir.",dahiliye
kidney stone,657, böbrek taşı,"Böbreklerde oluşan sert mineral ve tuz birikintileridir. Genellikle idrar yolu enfeksiyonları, dehidrasyon veya genetik faktörler sonucu ortaya çıkar ve bel ağrısı, idrarda kan ve sık idrara çıkma gibi belirtilerle kendini gösterir.",üroloji
acute sinusitis,657, sinüzit,"Burun tıkanıklığı, burun akıntısı, yüzde dolgunluk ve koku duyusunda azalma gibi belirtilere neden olan, sinüslerde meydana gelen iltihaplanmadır. Dört haftadan daha kısa sürer ve genellikle soğuk algınlığı gibi virüslerden kaynaklanır.",kulak burun boğaz
gallstone,654, safra kesesi taşı,"Safra kesesinde oluşan sert mineral ve tuz birikintileridir. Genellikle safra kesesi iltihabı, karın ağrısı ve sindirim sorunları gibi belirtilerle kendini gösterir.",gastroenteroloji
psychotic disorder,653, psikoz, "Gerçeklikten kopma durumu olarak tanımlanır. Kişinin düşünce, duygu ve davranışlarını etkileyen bir durumdur. Genellikle halüsinasyonlar, sanrılar ve düşünce bozuklukları gibi belirtilerle kendini gösterir.",psikiyatri
hyperemesis gravidarum,653,hiperemesis gravidarum,"Hamilelik sırasında aşırı bulantı ve kusma ile karakterize olan bir durumdur. Genellikle ilk trimesterde ortaya çıkar ve sıvı kaybı, elektrolit dengesizliği ve kilo kaybına neden olabilir.",kadın hastalıkları ve doğum
rectal disorder,653, rekal bozukluk,"Rektumun normal işlevlerini yerine getirememesi durumudur. Genellikle kabızlık, ishal, rektal kanama ve ağrı gibi belirtilerle kendini gösterebilir.",gastroenteroloji
stye,650, arpaçık,"Kirpik köklerinde oluşan enfeksiyon sonucu ortaya çıkan, genellikle ağrılı ve iltihaplı bir kisttir. Gözde kızarıklık, şişlik ve ağrı gibi belirtilerle kendini gösterir.",göz hastalıkları
conjunctivitis,650, konjunktivit,"Gözün beyaz kısmının iltihaplanmasıdır. Genellikle bakteriyel veya viral enfeksiyonlar sonucu ortaya çıkar ve gözde kızarıklık, sulanma ve kaşıntı gibi belirtilerle kendini gösterir.",göz hastalıkları
herniated disk,650, bel fıtığı,"Omurlar arasındaki disklerin dış tabakasının yırtılması sonucu iç kısmının dışarı çıkmasıdır. Genellikle bel ağrısı, bacaklarda uyuşma ve güçsüzlük gibi belirtilerle kendini gösterir.",nöroloji
threatened pregnancy,648, düşük tehdidi,"Hamilelik sırasında rahim içinde kanama ve ağrı gibi belirtilerle kendini gösteren bir durumdur. Genellikle düşük riski taşır ve tıbbi müdahale gerektirebilir.",kadın hastalıkları ve doğum
asthma,646, astım,"Akciğerlerdeki hava yollarının iltihaplanması ve daralması sonucu ortaya çıkan bir durumdur. Genellikle nefes darlığı, hırıltılı solunum ve öksürük gibi belirtilerle kendini gösterir.",göğüs hastalıkları
chronic obstructive pulmonary disease (copd),646, koah,"Akciğerlerdeki hava yollarının daralması ve iltihaplanması sonucu ortaya çıkan bir durumdur. Genellikle nefes darlığı, öksürük ve balgam üretimi gibi belirtilerle kendini gösterir.",göğüs hastalıkları
contact dermatitis,645, temas egzaması,"Ciltte alerjik reaksiyon sonucu ortaya çıkan kaşıntı, kızarıklık ve kabarcıklarla karakterize olan bir durumdur. Genellikle kimyasal maddelere, bitkilere veya metaller gibi alerjenlere maruz kalma sonucu ortaya çıkar.",dermatoloji
idiopathic excessive menstruation,639, aşırı adet kanaması,"Adet dönemlerinde normalden daha fazla kanama olması durumudur. Genellikle hormonal dengesizlikler, rahim fibroidleri veya polipler gibi nedenlerle ortaya çıkar.",kadın hastalıkları ve doğum
vaginitis,639, vajinal enfeksiyon,"Vajina içindeki dokuların iltihaplanmasıdır. Genellikle bakteriyel, mantar veya paraziter enfeksiyonlar sonucu ortaya çıkar ve vajinal akıntı, kaşıntı ve yanma gibi belirtilerle kendini gösterir.",kadın hastalıkları ve doğum
acute kidney injury,638, böbrek yetmezliği,"Böbreklerin aniden işlevini kaybetmesi durumudur. Genellikle sıvı kaybı, enfeksiyonlar veya ilaçların yan etkileri sonucu ortaya çıkar ve idrar miktarında azalma, şişlik ve yorgunluk gibi belirtilerle kendini gösterir.",nefroloji
panic disorder,636, panik bozukluğu,"Ani ve beklenmedik panik ataklarla karakterize olan bir durumdur. Kalp çarpıntısı, terleme, titreme ve nefes darlığı gibi belirtilerle kendini gösterir.",psikiyatri
chronic back pain,635,kranik bel ağrısı,"Bel bölgesinde sürekli veya tekrarlayan ağrı durumudur. Genellikle kas gerginliği, disk problemleri veya omurga dejenerasyonu gibi nedenlerle ortaya çıkar.",ortopedi ve travmatoloji
acute bronchospasm,635, bronkospazm,"Nefes borunuzu akciğerlerinize bağlayan hava yollarına bronş denir. Bazen bronşlarınızı kaplayan kaslar gerilir ve hava yollarınızın daralmasına neden olur. Buna bronkospazm denir ve vücudunuzun aldığı oksijen miktarını sınırlar.",göğüs hastalıkları
sickle cell crisis,635,orak hücreli anemi,"Kırmızı kan hücrelerinin normalden farklı bir şekil alması sonucu ortaya çıkan genetik bir hastalıktır. Bu durum, kan akışını engelleyerek ağrı, enfeksiyon ve organ hasarına neden olabilir.",hematoloji
problem during pregnancy,634,hamilelikte sorun,"Hamilelik sırasında ortaya çıkan komplikasyonlar veya sağlık sorunlarıdır. Genellikle düşük riski, erken doğum veya plasenta problemleri gibi durumları kapsar.",kadın hastalıkları ve doğum
pyogenic skin infection,634,bakteriyel cilt enfeksiyonu,"Ciltte bakteriyel enfeksiyon sonucu ortaya çıkan iltihaplanmadır. Genellikle kızarıklık, şişlik ve ağrı gibi belirtilerle kendini gösterir.",dermatoloji
common cold,633, nezle,"Üst solunum yollarında viral enfeksiyon sonucu ortaya çıkan bir durumdur. Genellikle burun akıntısı, hapşırma, boğaz ağrısı ve hafif ateş gibi belirtilerle kendini gösterir.",kulak burun boğaz
appendicitis,632, apandisit,"Apandiksin iltihaplanmasıdır. Genellikle karın sağ alt kısmında ağrı, bulantı ve kusma gibi belirtilerle kendini gösterir.",genel cerrahi
drug reaction,631,ilaç yan etkisi,"İlaçların vücutta beklenmedik veya istenmeyen etkiler yaratması durumudur. Genellikle alerjik reaksiyonlar, mide bulantısı, döküntü ve baş dönmesi gibi belirtilerle kendini gösterir.",dahiliye
smoking or tobacco addiction,631,sigara bağımlılığı,"Sigara içme alışkanlığı ve bağımlılığıdır. Genellikle nikotin bağımlılığı ile ilişkilidir ve solunum problemleri, kalp hastalıkları ve kanser gibi sağlık sorunlarına yol açabilir.",göğüs hastalıkları
osteoarthritis,630, kireçlenme,"Eklem kıkırdağının aşınması ve iltihaplanması sonucu ortaya çıkan dejeneratif bir hastalıktır. Genellikle yaşlanma, yaralanmalar veya aşırı kullanım sonucu gelişir ve eklem ağrısı, sertlik ve hareket kısıtlılığı gibi belirtilerle kendini gösterir.",ortopedi ve travmatoloji
otitis externa (swimmer's ear),630, dış kulak iltihabı,"Dış kulak yolunun iltihaplanmasıdır. Genellikle su, kir veya enfeksiyonlar sonucu ortaya çıkar ve kulakta ağrı, kaşıntı ve akıntı gibi belirtilerle kendini gösterir.",kulak burun boğaz
neurosis,629,nevroz,"Kişinin ruhsal durumunu etkileyen, ancak gerçeklikten kopma durumu olmayan bir psikiyatrik hastalıktır. Genellikle kaygı, depresyon ve obsesif-kompulsif belirtilerle kendini gösterir.",psikiyatri
pain after an operation,628,ameliyat sonrası ağrı,"Cerrahi müdahale sonrası ortaya çıkan ağrı durumudur. Genellikle yara iyileşmesi, sinir hasarı veya enfeksiyon gibi nedenlerle ortaya çıkar.",anestezi
idiopathic irregular menstrual cycle,627,düzensiz adet kanaması,"Adet döngüsünün normalden daha uzun veya daha kısa sürmesi durumudur. Genellikle hormonal dengesizlikler, stres veya kilo değişiklikleri gibi nedenlerle ortaya çıkar.",kadın hastalıkları ve doğum
otitis media,626,orta kulak iltihabı,"Orta kulakta meydana gelen iltihaplanmadır. Genellikle bakteriyel veya viral enfeksiyonlar sonucu ortaya çıkar ve kulakta ağrı, işitme kaybı ve ateş gibi belirtilerle kendini gösterir.",kulak burun boğaz
